Sample_ID,Attack_Success,Original_Label,Clean_Prediction,Adv_Prediction,Clean_Input_Trace,Clean_Input_Trace_StdErr,Adv_Input_Trace,Adv_Input_Trace_StdErr,Clean_Param_Trace,Adv_Param_Trace,Clean_Grad_Norm,Adv_Grad_Norm
0,True,91,91,43,1.3338302850723267,0.30818348896137965,261.1695922851562,29.743127975872373,52.60019149780273,48993.37109375,0.000418596260715276,287.3538818359375
1,True,218,218,219,21.797594404220582,7.7439723726859775,85.14580192565919,14.669761915019421,2542.2069091796875,11120.5642578125,0.8779904246330261,113.50872039794922
2,True,19,19,356,0.7954313829541206,0.14595326017521684,504.38316040039064,66.13978532550422,70.49157180786133,50668.08671875,0.00024143725750036538,741.1110229492188
3,True,808,808,611,37.660989379882814,8.232485181441737,136.46518325805664,30.033347385095244,2777.8637512207033,22155.691796875,0.5081640481948853,244.6816864013672
4,True,416,416,602,49.27332270145416,25.587574434832074,214.62560119628907,39.02804665184835,3846.639892578125,11652.37880859375,4.108700752258301,199.3195343017578
5,True,89,89,8,0.12590176425874233,0.033169518322073044,212.62603454589845,26.435436127296697,7.2314594984054565,32370.66953125,5.41108647666988e-06,235.15223693847656
6,True,793,793,433,1.625395654141903,0.5917602891626661,104.80569610595703,27.43164836117382,105.61168746948242,9285.025439453126,0.0014695338904857635,212.653076171875
7,True,505,505,849,136.32440795898438,34.27191492247222,15.776522612571716,4.687258108275659,6324.655419921875,-893.3898193359375,46.80694580078125,235.64910888671875
8,True,332,332,171,772.4619018554688,94.39844243470202,458.25548553466797,87.38486980504764,49937.278515625,25913.38671875,290.42840576171875,811.8524169921875
9,True,986,986,572,30.21321396827698,7.880692248045171,211.32380218505858,22.852148914001955,1167.4960144042968,28061.99111328125,0.14722123742103577,362.0618591308594
10,True,867,867,576,92.3732521057129,20.17247143789438,241.22057037353517,68.69690143463811,14896.67763671875,33619.728515625,6.319425582885742,356.4389953613281
11,True,116,116,549,154.7466775894165,33.53004036901767,197.53698120117187,11.413765731581588,18039.155322265626,52815.26015625,14.385589599609375,265.1450500488281
12,True,642,642,589,351.24035186767577,44.821844346901315,205.4189811706543,13.091128043091194,15215.9865234375,38790.4376953125,103.83576965332031,259.5549621582031
13,True,327,327,61,3.3128292456269266,0.9814380096478195,8.398814725875855,1.5595917973011295,622.5395385742188,22491.934375,0.0029219863936305046,659.560791015625
14,True,995,995,994,0.04029478883603588,0.008033139741826047,299.448656463623,67.62386223069213,3.5585169553756715,2392.92109375,3.3431897463742644e-06,208.83316040039062
15,True,87,87,370,0.28576877638697623,0.09606163783043604,265.2775543212891,49.10799115356062,16.572275829315185,54070.18984375,1.5999125025700778e-05,783.4760131835938
16,True,965,965,533,9.902123069763183,2.5798729610308415,349.64264526367185,45.69841917773793,858.3264556884766,51195.5140625,0.052139122039079666,439.87481689453125
17,True,267,267,221,85.75647630691529,23.92222088113922,216.4763557434082,25.84232709367404,12102.36201171875,51326.776171875,66.0641098022461,215.3140411376953
18,True,989,989,957,119.70978651046752,48.11842650941945,154.3579978942871,35.12668855913421,7107.222094726562,8283.8478515625,16.424970626831055,404.17681884765625
