Sample_ID,Attack_Success,Original_Label,Clean_Prediction,Adv_Prediction,Clean_Input_Trace,Adv_Input_Trace,Clean_Param_Trace,Adv_Param_Trace
0,True,91,91,97,-149.74433975219728,-3441.0726318359375,-2034.9717041015624,-431222.11875
1,True,171,171,163,-928.0700775146485,-2618.70458984375,-1159.1934326171875,-222776.440625
2,True,980,980,975,-439.49015350341796,-5321.374853515625,-44620.4609375,-358528.49375
3,True,218,218,180,83.30159225463868,-1991.1773193359375,-6815.20927734375,-370974.2625
4,True,19,19,96,71.25193576812744,-4247.573657226562,775.5977966308594,-196181.33125
5,True,658,658,794,50.93125915527344,-2385.3015380859374,-43665.27890625,-377510.0875
6,True,808,808,524,-37.33814401626587,-3002.437451171875,-3029.719921875,-369639.725
7,True,416,416,702,-308.7232093811035,-3639.6,-7577.01787109375,-297202.440625
8,True,89,89,172,71.5232322692871,-5872.792626953125,-310.0519775390625,-526233.65625
9,True,793,793,452,338.4480796813965,-2713.437744140625,1932.5469482421875,-378166.48125
10,True,712,712,828,589.0544036865234,-4405.009033203125,-2424.44375,-340665.63125
11,True,505,505,588,-640.5314453125,-4278.091723632812,20579.770703125,-361572.85
12,True,332,332,359,-56.08119506835938,-5215.47255859375,-2648.43125,-499004.1
13,True,986,986,641,652.0564613342285,-7534.88369140625,8766.7181640625,-654974.7
14,True,867,867,762,565.334326171875,-1786.63134765625,-7081.476611328125,-371732.83125
15,True,817,817,656,587.6755462646485,-1306.4605224609375,-16344.41435546875,-212674.56875
16,True,642,642,806,-96.89869079589843,-3757.5382080078125,2332.871221923828,-835842.9625
17,True,327,327,300,115.43085079193115,-2028.523388671875,1441.8297241210937,-358026.14375
18,True,995,995,390,52.55203475952148,-2139.8707885742188,-3014.1330810546874,-431199.15
19,True,87,87,589,-306.2366012573242,-3163.9715576171875,-534.21611328125,-412728.10625
20,True,965,965,641,-24.593521118164062,-4008.862890625,1267.2073852539063,-368157.86875
21,True,267,267,185,22.695210647583007,-2162.9454345703125,5817.62578125,-244266.78125
22,True,977,977,382,-131.12727813720704,-3714.327197265625,22766.719921875,-262995.25
23,True,989,989,60,31.716282081604003,-4446.833227539062,211.515576171875,-471296.29375
24,True,800,800,421,-425.6641815185547,-4119.539208984375,22584.031640625,-745452.4625
25,True,905,905,748,2191.9504638671874,-3337.349462890625,67524.5890625,-413313.30625
26,True,124,124,60,-75.93982696533203,-1298.5042114257812,-12304.8728515625,-544991.05
27,True,541,541,850,529.7671768188477,-4516.8875,2020.2193115234375,-421602.2
28,True,661,661,468,-404.30924530029296,-2956.6841552734377,-28961.1984375,-417370.35625
29,True,112,112,28,197.83039779663085,-4415.766259765625,-2090.058642578125,-399607.0
30,True,531,531,784,83.32054977416992,-2980.24990234375,-715.1671997070313,-439940.575
31,True,251,251,161,32.014772987365724,-3549.61259765625,-3523.284912109375,-423319.275
32,True,495,495,446,114.263232421875,-3312.41064453125,-6048.82255859375,-315408.5
33,True,313,313,317,-133.88165664672852,-1859.483984375,-21025.13232421875,-241792.75625
34,True,784,784,758,12.426898193359374,-3148.7029052734374,575.7234375,-308076.9
35,True,261,261,193,-29.648235321044922,-2192.3417724609376,-5793.6260986328125,-240394.36875
36,True,973,973,113,108.40434188842774,-626.3424377441406,2648.5934814453126,-126192.2359375
37,True,535,535,409,5.602052211761475,-2954.7177001953123,376.62412719726564,-486308.675
38,True,70,70,306,-5.674567711353302,-2356.0023803710938,-2489.930126953125,-335256.60625
39,True,269,269,298,189.1130630493164,-1692.5037231445312,4293.959228515625,-194823.8484375
40,True,558,558,772,558.5466163635253,-5383.560498046875,-2720.00078125,-506598.55
41,True,569,569,751,81.4561279296875,-3116.733837890625,-11041.791650390625,-418790.65
42,True,129,129,144,104.40851864814758,-2960.722021484375,1374.180322265625,-256170.225
43,True,766,766,748,186.79349365234376,-2562.07607421875,4152.618798828125,-395278.26875
44,True,191,191,186,-584.0158676147461,-2332.8231689453123,-15497.580078125,-192965.728125
45,True,553,553,748,298.71771545410155,-3760.0946533203123,3304.5049560546877,-265437.284375
46,True,586,586,408,40.28324632644653,-1923.9946411132812,-3988.4773071289064,-198913.896875
