Sample_ID,Attack_Success,Original_Label,Clean_Prediction,Adv_Prediction,Clean_Input_Trace,Adv_Input_Trace,Clean_Param_Trace,Adv_Param_Trace
0,True,91,91,97,-124.52975883483887,-1689.2433227539063,-288.811328125,-332850.8875
1,True,171,171,243,-1047.692202758789,-1332.1507446289063,-327.3975341796875,-77152.02265625
2,True,980,980,975,-758.2456703186035,998.3259857177734,-40380.825390625,10429.0193359375
3,True,218,218,161,101.05421304702759,243.59117279052734,-2913.8541015625,35184.51953125
4,True,19,19,86,98.8907278060913,-7773.824951171875,744.3289978027344,-129687.3265625
5,True,658,658,578,-68.08814086914063,-2214.679235839844,-29372.19296875,-283769.521875
6,True,808,808,601,-36.77550716400147,1007.1708267211914,-2831.569970703125,-83316.2671875
7,True,416,416,702,-520.0613967895508,-1492.7916564941406,-8989.8716796875,-132738.8078125
8,True,89,89,136,64.6430025100708,-780.935678100586,-4751.746508789062,-322178.925
9,True,793,793,452,317.8862869262695,810.1352066040039,2525.3317260742188,6293.8326171875
10,True,712,712,622,25.862551879882812,324.9158996582031,-32918.6328125,78032.437890625
11,True,505,505,588,-843.1338256835937,-1009.7693054199219,17438.9314453125,-164715.246875
12,True,332,332,258,355.93965377807615,-3695.37587890625,7979.3794921875,-208116.240625
13,True,986,986,937,452.00182037353517,70.94949645996094,13433.56923828125,149261.715625
14,True,867,867,820,532.8328826904296,-906.0543487548828,-1008.51865234375,-412861.8125
15,True,817,817,436,533.7413467407226,-896.280615234375,-19922.0064453125,-49970.06796875
16,True,642,642,462,-21.819387340545653,980.6743728637696,-425.2310302734375,277042.053125
17,True,327,327,62,66.98366470336914,-1062.3455017089843,1504.012353515625,-369492.73125
18,True,995,995,301,50.14543838500977,-633.9875305175781,-2677.638427734375,-161074.18125
19,True,87,87,480,-147.1309020996094,146.1783020019531,3114.6452758789064,-12730.0361328125
20,True,965,965,932,13.60098762512207,-1673.5124877929688,449.0621643066406,-115122.340625
21,True,267,267,153,8.15389575958252,-1149.38154296875,-1177.082958984375,-180639.10625
22,True,977,977,20,-0.8536811828613281,-454.05418548583987,13074.95859375,-69691.76171875
23,True,989,989,957,20.40374960899353,-48.193511962890625,335.5930877685547,-146338.3125
24,True,800,800,421,-383.6864669799805,-94.61780548095703,20766.2869140625,-526296.3375
25,True,905,905,789,1796.7507446289062,-979.8292419433594,69724.64921875,-132059.7796875
26,True,124,124,122,-58.120289993286136,-574.1190490722656,-15138.5568359375,-194928.246875
27,True,541,541,413,1124.0398635864258,-2786.1582641601562,3290.699328613281,-113672.340625
28,True,661,661,882,-151.0175338745117,-952.5220336914062,-28557.1,-61184.147265625
29,True,112,112,524,420.23336029052734,2276.0326232910156,-209.1409423828125,-173361.565625
30,True,531,531,587,21.70652904510498,-143.84515628814697,-368.357177734375,-99304.784375
31,True,251,251,163,53.738207244873045,-1789.2012023925781,-3188.530895996094,-317598.3125
32,True,495,495,453,1556.2671661376953,-996.2082885742187,-10941.60166015625,-138262.4078125
33,True,313,313,30,-118.8385986328125,-543.8607849121094,-14506.55625,-50723.411328125
34,True,784,784,733,11.265281677246094,-371.4391115188599,6594.71845703125,-139484.134375
35,True,261,261,263,-102.93878746032715,-2371.189587402344,-6520.1638671875,-188113.18125
36,True,973,973,4,42.438654613494876,-932.3357055664062,3160.94912109375,-125741.8015625
37,True,535,535,685,4.963249051570893,-1077.0948181152344,672.1958801269532,-119657.7796875
38,True,70,70,46,-12.592156505584716,-1085.8166015625,-3140.741845703125,-381994.63125
39,True,269,269,54,171.30029220581054,-480.4128875732422,2228.289337158203,-106590.196875
40,True,558,558,542,445.15082092285155,-1579.2630737304687,-6956.05625,-149019.75
41,True,569,569,864,186.04619255065919,1810.1775268554688,-14517.08828125,-276715.796875
42,True,129,129,144,215.3556697845459,-2005.1484741210938,1191.0867309570312,-157507.590625
43,True,766,766,930,-97.6653564453125,-779.3600036621094,5982.188256835938,-119015.078125
44,True,191,191,186,-447.16735992431643,-1039.4234588623046,-10442.444140625,-136543.2875
45,True,553,553,446,310.6963134765625,-1847.5943969726563,-37.535693359375,-119673.6375
46,True,586,586,408,12.018483400344849,-323.97407989501954,-3330.140625,-83857.0375
47,True,422,422,776,-188.7094654083252,-1453.3807861328125,-2423.8593017578123,-298153.65625
48,True,334,334,357,121.9065110206604,-871.5125152587891,-262.63115234375,-56071.1765625
49,True,13,13,639,451.7231719970703,-450.0938949584961,12842.2484375,-117760.9640625
50,True,542,542,640,1508.047171020508,-2503.6341796875,14519.59384765625,-323937.06875
51,True,290,290,298,-405.66234893798827,-579.6425308227539,-3310.912158203125,-80455.70546875
52,True,495,495,588,1713.715396118164,-1534.4149291992187,4405.2986328125,-302464.425
53,True,664,664,588,1858.144287109375,471.80421447753906,65069.671875,-147360.171875
54,True,521,521,909,136.84032440185547,-1230.779833984375,1093.933154296875,-175707.44375
55,True,593,593,742,-335.1424255371094,753.0318115234375,6047.622631835938,-186780.821875
56,True,692,692,463,116.52243862152099,-1233.1644973754883,484.7412384033203,-192635.50625
57,True,332,332,294,-64.58550148010254,-426.4795555114746,58.141989135742186,-142807.684375
58,True,825,825,596,-4.059152984619141,-244.27800369262695,9238.934887695312,-98427.459375
59,True,990,990,304,192.49652214050292,-387.37728118896484,-1734.190249633789,125390.69375
