Sample_ID,Attack_Success,Original_Label,Clean_Prediction,Adv_Prediction,Clean_Input_Trace,Adv_Input_Trace,Clean_Param_Trace,Adv_Param_Trace
0,True,91,91,21,-204.61399784088135,-26664.2849609375,-354.56959228515626,-550564.8125
1,True,171,171,172,-1254.7260192871095,-16248.307641601563,-2963.3880615234375,-181755.95625
2,True,980,980,975,-931.1818237304688,-4853.887145996094,-33766.179296875,-206842.4875
3,True,218,218,217,60.22491016387939,-1115.847248840332,-7648.43564453125,-38201.755078125
4,True,19,19,815,9.273779678344727,-5260.443896484375,1116.7666442871093,-1839.8024169921875
5,True,658,658,496,37.482201385498044,-711.6934967041016,-48414.39453125,-77237.4140625
6,True,808,808,452,-24.469081497192384,-3252.885205078125,-2949.7669921875,-101738.45234375
7,True,416,416,702,-297.5433090209961,-71886.151171875,-7565.191357421875,-678895.2625
8,True,89,89,141,4.957352924346924,-10785.7017578125,621.2431915283203,-359949.034375
9,True,793,793,433,258.19434967041013,-29228.744140625,1889.655712890625,-636090.975
10,True,712,712,828,287.81481781005857,-15165.386962890625,-4380.18623046875,-908693.9375
11,True,505,505,550,-586.9476692199707,-2181.4070678710937,18360.3337890625,-58399.7171875
12,True,332,332,258,1479.5193634033203,-7667.038562011719,-16132.914453125,-444525.75
13,True,986,986,839,764.4806228637696,-16946.454296875,10051.438916015624,-340823.1625
14,True,867,867,565,484.8648147583008,8739.18466796875,-6454.47392578125,-258871.765625
15,True,817,817,751,699.1947662353516,-1104.4259216308594,-8539.638220214843,-37251.771875
16,True,642,642,542,-188.1694761276245,-17737.42060546875,-967.1186401367188,-444295.325
17,True,327,327,328,10.104930591583251,-42541.1515625,-2730.0043212890623,-1249311.2375
18,True,995,995,310,47.35312767028809,-23427.4724609375,-2786.0065185546873,-1049706.975
19,True,87,87,496,-341.36554260253905,-17893.6599609375,1663.490234375,-312913.625
20,True,965,965,961,-143.6565849304199,-31095.0666015625,1471.831103515625,-847866.7125
21,True,267,267,266,-76.32532978057861,-3508.5933837890625,1887.654052734375,-89994.0875
22,True,977,977,978,-99.07596855163574,82.03656158447265,12372.7173828125,12816.55029296875
23,True,989,989,988,31.815402030944824,-4698.401684570313,401.12596435546874,-294841.125
24,True,800,800,509,-357.10728454589844,-13146.366015625,22380.837109375,554922.7875
25,True,905,905,789,1986.7541748046874,2715.5826904296873,57476.4765625,40651.733203125
26,True,124,124,122,-72.12153778076171,-1305.7769592285156,-9782.721923828125,-108114.32421875
27,True,541,541,542,664.7716217041016,-4293.7671875,1580.8205688476562,-134040.971875
28,True,661,661,479,-228.3498254776001,-40693.3310546875,-30031.890234375,-759554.41875
29,True,112,112,461,329.1498085021973,-20409.37841796875,-553.3434448242188,-379087.175
30,True,531,531,826,21.447292709350585,-4865.5430908203125,-3525.122967529297,-231233.29375
31,True,251,251,222,27.276043224334718,-11667.3408203125,-2936.562353515625,-454420.0125
32,True,495,495,453,374.8201599121094,-10928.78251953125,-7282.098193359375,-127089.82265625
33,True,313,313,329,66.89950714111328,-767.2302780151367,-15068.32314453125,-94026.190625
34,True,784,784,758,23.110976266860963,-652.5794708251954,6010.200659179687,-32312.007421875
35,True,261,261,259,-57.076612854003905,-3153.53916015625,-4925.135693359375,-149235.65625
36,True,973,973,4,152.248042011261,-1115.123065185547,4178.939501953125,-25163.985791015624
37,True,535,535,671,1.3655072927474976,-2484.21083984375,246.9193603515625,-176935.8625
38,True,70,70,74,-12.144357109069825,-8705.41298828125,-1880.738525390625,-598210.0375
39,True,269,269,271,162.59821758270263,-235.93842849731445,1211.085400390625,-11294.52705078125
40,True,558,558,683,959.540379333496,-43121.5099609375,-6573.69638671875,-824487.6875
41,True,569,569,867,135.65778732299805,-7304.78349609375,-14237.6767578125,316213.1125
42,True,129,129,958,125.41550092697143,-10432.515625,-31.291064453125,-326714.265625
43,True,766,766,930,-2.8917633056640626,-29265.941015625,6495.002392578125,-78571.35390625
44,True,191,191,189,-457.8013916015625,-990.1179138183594,-22277.52275390625,-51681.547265625
45,True,553,553,844,876.8711387634278,-13118.40751953125,719.9208740234375,-302486.2875
46,True,586,586,864,34.614850759506226,-1170.4670349121093,-3187.070361328125,-98894.484375
47,True,422,422,554,-225.71182250976562,-69570.291015625,-1779.9286376953125,-652478.25
48,True,334,334,337,91.033931350708,-2492.317825317383,-1063.06337890625,-191529.91875
49,True,13,13,37,535.9855560302734,-10859.7048828125,14231.98583984375,-397869.14375
50,True,542,542,541,1259.1132720947267,-1017.5497436523438,15744.198828125,125640.78203125
51,True,290,290,288,-146.2708251953125,-2828.6497436523437,-8203.78876953125,-114425.525
52,True,495,495,532,2185.0978866577148,-72282.4716796875,786.61279296875,-1068549.65
53,True,664,664,527,1673.678936767578,653.5626846313477,59772.54296875,14593.48681640625
54,True,521,521,926,123.95355434417725,-1083.4836029052735,-3733.36064453125,-82820.44375
55,True,593,593,646,-127.70304565429687,-32835.219921875,8225.21982421875,-308847.34375
56,True,692,692,931,196.77155647277831,-2639.421920776367,884.8596374511719,-66861.07109375
57,True,332,332,191,-44.86851787567139,-4631.396923828125,930.7356201171875,-213483.9625
58,True,825,825,596,12.368000793457032,-4989.452319335937,1049.2753173828125,-155386.30625
59,True,990,990,988,153.58122138977052,-35031.2462890625,-1337.47861328125,-844082.8
60,True,718,718,839,-568.0087776184082,-4149.993725585938,-17755.8021484375,-139263.996875
61,True,717,717,864,-83.6351978302002,-21188.5935546875,-2657.1824462890627,-469373.35625
62,True,195,195,245,110.35648918151855,-2844.606564331055,1423.1138732910156,-140000.940625
63,True,340,340,9,184.29473724365235,235.54746704101564,12394.150317382813,-41332.478125
64,True,627,627,436,-26.936398315429688,-19548.30810546875,-5092.531787109375,-701088.05
65,True,138,138,343,67.2076078414917,-2758.440222167969,1018.984912109375,-162672.8796875
66,True,835,835,635,-111.27827587127686,-3649.121923828125,1203.963934326172,-131441.265625
67,True,743,743,624,-146.14572143554688,-3284.4025634765626,19252.93154296875,28497.2396484375
68,True,998,998,987,2609.952355957031,1267.2891235351562,133028.103125,124599.253125
69,True,322,322,989,165.41949691772462,-3739.221435546875,-2758.348291015625,-81385.94375
70,True,564,564,750,-527.3612701416016,-3690.777062988281,-11379.6328125,-156851.14375
71,True,570,570,691,-269.2184406280518,-12903.45771484375,5153.587890625,-211450.08125
72,True,905,905,846,705.4812744140625,-4787.8214111328125,56371.73046875,34787.364453125
73,True,875,875,566,-359.58390350341796,-753.7095397949219,-64275.39296875,-258608.871875
74,True,811,811,753,163.3105152130127,-26509.5271484375,702.8260498046875,-669457.4625
75,True,943,943,936,98.44084968566895,-1052.423321533203,2925.055029296875,-204575.853125
76,True,83,83,331,78.55037298202515,-5679.4630859375,7.634368896484375,-121608.58125
77,True,995,995,588,63.852511978149415,-1889.9810302734375,-8634.99130859375,-184669.603125
78,True,226,226,676,147.16881980895997,-11660.0552734375,-2999.018994140625,-481016.8625
79,True,806,806,502,-14.401940321922302,-5845.520166015625,-611.3727111816406,-389731.33125
80,True,356,356,358,143.5274929046631,-14308.92509765625,-618.4538452148438,-652326.975
81,True,40,40,46,-88.5366600036621,-647.9949783325195,1330.8968994140625,-36786.45390625
82,True,543,543,422,1760.5009460449219,-1845.6525573730469,-178559.625,-355796.7125
83,True,993,993,994,74.79900665283203,-2769.8620727539064,1915.675830078125,-77350.7078125
84,True,575,575,609,114.08626823425293,-17227.57705078125,-557.8323852539063,-771543.2875
85,True,921,921,593,216.53788681030272,-27505.062890625,1897.7078857421875,-146899.846875
86,True,568,568,824,358.3123062133789,-11863.42099609375,-2020.378643798828,-268186.2
87,True,98,98,124,17.47572250366211,-2677.4719116210936,6705.2876953125,59084.45234375
88,True,62,62,61,95.69449844360352,-974.2025741577148,-4732.21357421875,-184255.74375
89,True,910,910,618,-43.263096237182616,-16598.2916015625,3791.363671875,-199131.390625
90,True,814,814,625,104.89532623291015,-271.20865325927736,925.4411743164062,-167343.29375
91,True,988,988,989,-70.10213794708253,-1717.240167236328,-2087.1396728515624,-32449.91728515625
92,True,155,155,204,-22.75586814880371,-1344.1818145751954,-597.560546875,-63267.15703125
93,True,614,614,789,-1757.3088485717774,-3952.9610107421877,3706.122900390625,-171853.4796875
94,True,561,561,634,-122.31117553710938,-799.111947631836,14263.7251953125,11489.5267578125
95,True,311,311,314,2881.5267028808594,-8763.73154296875,-106350.44375,-341327.9375
96,True,326,326,322,105.41615371704101,-2063.8632217407226,-2088.8607788085938,-62372.915625
97,True,943,943,535,188.82853927612305,-9151.72412109375,2962.505908203125,-146815.1875
98,True,364,364,96,696.5137008666992,-137438.12421875,9491.3392578125,-1061105.4125
99,True,988,988,990,39.77406225204468,-3249.3114501953123,-183.15496215820312,-273675.4
100,True,575,575,656,288.3520182132721,-11773.4501953125,1175.2357421875,-224333.490625
101,True,671,671,518,41.11882705688477,-16865.584765625,9124.585498046876,-320262.33125
102,True,70,70,313,66.00045967102051,-2357.4770263671876,-2320.890966796875,-334367.625
103,True,110,110,115,20.87514305114746,-693.3988830566407,-272.59625244140625,-87421.69765625
104,True,490,490,464,51.59613475799561,-1084.2579467773437,5182.821813964843,-252720.8625
105,True,798,798,769,2417.0639770507814,-73026.490625,-52855.67109375,-1074133.325
106,True,961,961,964,2309.3671447753904,-1898.1598114013673,36156.859375,44847.897265625
107,True,184,184,213,17.435705709457398,-7695.1839599609375,-1241.4163208007812,-162051.946875
108,True,725,725,899,819.0860763549805,-2607.7745697021483,7967.696484375,-28470.3138671875
109,True,63,63,60,200.95410766601563,227.919580078125,-172.27198486328126,-156489.128125
110,True,971,971,645,205.69309921264647,-3299.240087890625,10153.212670898438,-527489.71875
111,True,15,15,13,16.58831958770752,-4321.648376464844,1977.3619689941406,-515367.35625
112,True,512,512,818,-377.1420219421387,-40436.75078125,-3398.9655639648436,-3109701.65
113,True,106,106,105,-116.9031478881836,-26155.8076171875,6809.9525390625,-425517.2375
114,True,825,825,15,50.31757869720459,-1178.4524879455566,18848.76943359375,-6946.58642578125
115,True,641,641,509,165.42585983276368,-29250.867578125,1801.7405517578125,-616156.88125
116,True,684,684,502,906.151091003418,-15405.573486328125,11827.01611328125,-667792.0875
117,True,102,102,334,29.874641799926756,-730.8717376708985,-1229.359423828125,-76214.70859375
118,True,214,214,239,1425.0720947265625,-13400.805850219727,96074.06875,174672.3328125
119,True,726,726,714,-45.14250717163086,-55654.131640625,-5355.889697265625,-1233222.1625
120,True,954,954,582,126.6026710510254,-947.1221252441406,555.0313232421875,-143371.6296875
121,True,181,181,267,-4176.797314453125,-13748.86240234375,-42449.930859375,-158853.140625
122,True,622,622,746,375.6366455078125,-12537.13525390625,1520.817205810547,-286560.83125
123,True,863,863,733,58.398536396026614,-2551.615087890625,3364.599560546875,-246064.41875
124,True,665,665,671,-8.877449035644531,-2702.27001953125,-297.26458740234375,-216822.50625
125,True,990,990,988,16.83674454689026,-1312.2190673828125,-1233.226904296875,-190412.13125
126,True,832,832,970,50.65727272033691,-924.8093017578125,1532.4921508789062,-164517.653125
127,True,594,594,579,68.84405899047852,-8483.26845703125,1203.3576202392578,-584821.125
128,True,86,86,82,121.90358772277833,57.83169078826904,14081.910546875,2999.79609375
129,True,871,871,814,-41.305884552001956,-11223.78349609375,2315.8342529296874,-130163.9671875
130,True,223,223,227,-66.55523414611817,-11767.88466796875,-5390.5056640625,-203707.284375
131,True,874,874,141,172.4774429321289,-11369.9478515625,-4851.26435546875,-270673.9796875
132,True,213,213,205,-165.2690460205078,-12208.887890625,5852.6658203125,-310213.959375
133,True,315,315,340,-198.5921485900879,-18603.284375,-261.9835174560547,-53174.50078125
134,True,417,417,4,-66.07156114578247,-18266.6322265625,-1882.6288299560547,-404064.86875
135,True,804,804,631,-1845.7377197265625,-1506.7874877929687,45909.796875,143730.0609375
136,True,126,126,314,1145.5985229492187,67244.9421875,-298.12896728515625,-291805.95625
137,True,839,839,497,-281.09280319213866,-763.5123352050781,-21704.648046875,-119276.3953125
138,True,998,998,987,58.83574028015137,-301.44098072052003,6222.01181640625,-16035.82109375
139,True,990,990,952,283.0742500305176,792.8187431335449,23057.233984375,-2340.445703125
140,True,988,988,10,248.39690551757812,-1574.2785278320312,1958.2092041015626,-208565.134375
141,True,771,771,507,-681.1426643371582,-35480.5857421875,-1563.1033874511718,-195154.703125
142,True,210,210,208,75.0334243774414,-2876.6439575195313,-6266.10830078125,-160928.86875
143,True,483,483,832,107.00461845397949,-23684.5275390625,6092.211218261718,-332891.13125
144,True,376,376,373,2.6801408767700194,-2153.195593261719,-1189.8896759033203,-154429.4390625
145,True,580,580,538,-65.47279529571533,-682.9593444824219,-911.5400390625,-124128.953125
146,True,862,862,470,1529.4095825195313,10731.344384765625,-5786.202465820313,-218406.934375
147,True,830,830,788,2012.541421508789,2454.6852996826174,77109.7671875,78619.561328125
148,True,895,895,908,188.63476066589357,-25838.4189453125,681.7180969238282,-391199.85625
149,True,237,237,236,6.043793487548828,-1979.79541015625,-6844.880078125,-229291.928125
150,True,96,96,379,325.161360168457,-93053.668359375,4414.01474609375,-813101.85625
151,True,984,984,975,-185.15684814453124,-3906.122930908203,-3536.23125,-303544.125
152,True,403,403,536,182.70655822753906,-10057.605407714844,32824.198828125,-339208.9375
153,True,764,764,477,-218.16355056762694,-8451.063354492188,6980.507543945312,-250517.851953125
154,True,56,56,60,91.1380458831787,-13819.930859375,-379.17835693359376,-202853.1046875
155,True,273,273,271,19.18150043487549,-2097.5075561523436,2302.8492919921873,-82177.18125
156,True,779,779,874,375.7931896209717,-32126.3123046875,-3905.427392578125,-382385.00625
157,True,141,141,142,-163.93369979858397,-7933.17392578125,5715.49267578125,-229761.75625
158,True,187,187,193,455.3722213745117,-376.26939697265624,568.8623291015625,-66902.475
159,True,546,546,819,-493.9571502685547,-277.481591796875,-30618.450390625,-360315.70625
160,True,774,774,502,-1045.5095207214356,-4898.440783691406,13263.274072265625,-241575.7546875
161,True,165,165,234,160.2602970123291,-26354.93203125,2864.7190795898437,-17820.21015625
162,True,886,886,498,-87.22761573791504,-9282.73408203125,-20948.936328125,-1435019.875
163,True,634,634,856,-305.61555805206297,-4002.93876953125,-8871.75234375,-138763.665625
164,True,392,392,973,55.474396514892575,-5748.53095703125,4440.95654296875,-77805.112890625
165,True,914,914,780,0.7929916381835938,-349.4514190673828,-58364.3830078125,-142183.8796875
166,True,338,338,333,113.2218295097351,-575.7329895019532,-2234.4458740234377,-142540.284375
167,True,711,711,631,152.20601806640624,-1170.6787506103515,18167.8998046875,-37012.3787109375
168,True,463,463,87,-501.0608795166016,-5319.190893554687,19021.44375,-135114.9671875
169,True,751,751,817,-598.1789932250977,-3773.3603637695314,-1494.0310791015625,-49096.87421875
170,True,72,72,74,212.32003631591797,-3868.086218261719,-1531.0273132324219,-47149.58515625
