Sample_ID,Attack_Success,Original_Label,Clean_Prediction,Adv_Prediction,Clean_Input_Trace,Adv_Input_Trace,Clean_Param_Trace,Adv_Param_Trace
0,True,171,171,211,-1127.5188934326172,-453.6510597229004,-3848.6453369140627,-21532.88203125
1,True,980,980,975,-812.7353576660156,2321.5234558105467,-28151.05625,-32284.029296875
2,True,218,218,161,91.41493530273438,-175.61004943847655,-7551.50078125,-88951.61328125
3,True,658,658,496,-156.98351287841797,-334.69293518066405,-58810.2625,-64636.0109375
4,True,808,808,452,-34.78635368347168,-846.6906936645507,-2810.8593505859376,-63221.81171875
5,True,416,416,702,-245.02042026519774,-2428.968475341797,-9905.6880859375,-1143453.475
6,True,712,712,633,461.66448669433595,-107.3825668334961,-13918.5984375,280675.940625
7,True,332,332,258,-1049.7810455322265,-806.9943389892578,-1899.6533203125,312141.325
8,True,867,867,565,608.5542663574219,-399.33554153442384,-4942.83359375,-144273.3984375
9,True,817,817,751,651.5983825683594,-104.5230670928955,-2934.754296875,-24393.99609375
10,True,642,642,542,-0.8770374298095703,-1080.0320205688477,-979.4974975585938,-50528.32578125
11,True,965,965,942,3.7816848754882812,904.9685302734375,2062.867138671875,-171046.9671875
12,True,267,267,266,-76.33494443893433,34.473307037353514,2130.8399169921877,18529.4275390625
13,True,977,977,591,-94.12163391113282,-402.6080657958984,7088.639013671875,-191914.678125
14,True,989,989,957,41.501029348373415,1121.4971450805665,-35.34373168945312,-81084.20625
15,True,800,800,421,-385.5271530151367,1531.0952453613281,19756.34453125,-112922.25546875
16,True,905,905,789,2270.3772094726564,104.93648929595948,59350.63828125,-75536.76171875
17,True,124,124,122,-60.54128513336182,64.06594123840333,-14525.603125,-15678.146875
18,True,541,541,577,1256.0710571289062,733.9141906738281,1585.2103515625,-62503.91015625
19,True,112,112,524,605.3354629516601,-1314.720687866211,-2365.1663818359375,31708.0791015625
20,True,531,531,487,33.52662057876587,-309.6054847717285,-1744.7645263671875,-261387.88125
21,True,495,495,453,-143.50924377441407,-815.8524795532227,-8273.02021484375,-120659.55
