Sample_ID,Attack_Success,Original_Label,Clean_Prediction,Adv_Prediction,Clean_Input_Trace,Adv_Input_Trace,Clean_Param_Trace,Adv_Param_Trace
0,True,91,91,7,-191.5869613647461,-1962.6116333007812,-2042.9776794433594,-299208.3125
1,True,171,171,211,-1182.5351654052733,-1158.6860412597657,-2851.1260986328125,-126320.525
2,True,980,980,975,-739.5015914916992,-1501.5677612304687,-40673.499609375,-250113.496875
3,True,218,218,161,91.35756492614746,-146.74106369018554,-8183.0802734375,-33321.5078125
4,True,19,19,86,31.356918716430663,-1813.469256591797,880.7249328613282,-202463.790625
5,True,658,658,496,-9.367749786376953,-1275.9620971679688,-78333.65546875,-237089.85
6,True,808,808,601,-44.78539018630981,306.91156883239745,-3316.032080078125,-85187.3359375
7,True,416,416,702,-259.7962310791016,-1325.1553344726562,-9052.48544921875,-202443.5828125
8,True,89,89,133,6.933850479125977,-2411.12470703125,-2469.2985595703126,-414241.09375
9,True,793,793,452,487.0812515258789,-439.96177062988284,2892.90068359375,-153772.5234375
10,True,712,712,622,402.8651550292969,-1833.60087890625,-16728.68984375,189142.84375
11,True,505,505,790,-640.4620086669922,-4017.2942138671874,16115.7990234375,-608130.9625
12,True,332,332,258,489.69642333984376,-1651.7829711914062,20075.60078125,-226110.434375
13,True,986,986,937,408.96837005615237,-3132.9662841796876,6844.457690429687,-733238.2125
14,True,867,867,565,578.8771392822266,-38.03124313354492,-5747.7593994140625,-205299.165625
15,True,817,817,751,558.3892105102539,-714.3849182128906,-4633.34716796875,-220747.271875
16,True,642,642,462,-153.1336254119873,-2335.515771484375,113.72623291015626,-408507.6625
17,True,327,327,608,27.26631889343262,-444.5336547851563,1490.2556884765625,-46365.36079101563
18,True,995,995,75,51.538840675354,-1485.3652587890624,-3159.839990234375,-297889.48125
19,True,87,87,741,-163.71219940185546,-2257.9562377929688,447.268017578125,-324149.61875
20,True,965,965,942,-2.0156097412109375,-1600.2826171875,405.47206115722656,-271957.990625
21,True,267,267,266,-60.042298316955566,-962.9457580566407,2289.42705078125,-190636.453125
22,True,977,977,103,-32.19635200500488,-1199.0621246337892,11395.599658203126,-164337.228125
23,True,989,989,957,28.560658121109007,-2077.0418212890627,-259.5662353515625,-276366.24375
24,True,800,800,421,-454.02194747924807,-2637.5515380859374,24887.4328125,-782643.225
25,True,905,905,789,1920.08154296875,-1264.8562744140625,52543.551171875,-329877.2375
26,True,124,124,122,-61.54358348846436,-594.5429321289063,-12244.344140625,-271549.1125
27,True,541,541,577,445.4366943359375,-1383.6530883789062,1267.3007080078125,-232246.9125
28,True,661,661,891,-127.58189697265625,-2322.541796875,-31931.13984375,-393201.68125
29,True,112,112,524,288.6606719970703,-770.3348861694336,332.049462890625,-132777.60625
30,True,531,531,587,78.76398677825928,-1915.57021484375,-3276.9962890625,-465102.9625
31,True,251,251,151,38.62846689224243,-2047.6055541992187,-2490.083056640625,-423535.4125
32,True,495,495,453,1678.8361358642578,-1507.29375,-3750.77392578125,-172134.003125
33,True,313,313,30,55.554603576660156,-1059.1751953125,-17788.42578125,-20357.549926757812
34,True,784,784,733,25.157339096069336,-1763.9849731445313,2172.5201416015625,-246084.45
35,True,261,261,259,-84.99073352813721,-1096.678466796875,-4550.659619140625,-146808.51875
36,True,973,973,4,111.82883186340332,-1059.357861328125,3065.6832763671873,-185820.759375
37,True,535,535,640,-5.655317640304565,-1315.0804321289063,10.429595947265625,-266073.1875
38,True,70,70,108,-12.46222894191742,-1353.9922607421875,-2149.5029052734376,-417312.45
39,True,269,269,237,179.88367385864257,-1329.2493103027343,1778.944024658203,-264291.16875
40,True,558,558,542,913.4612335205078,-1730.530078125,-7887.341943359375,-358046.3625
41,True,569,569,864,111.72810440063476,-1506.2851867675781,-16500.5912109375,-219850.453125
42,True,129,129,144,78.57474365234376,-1629.4324096679688,1803.9346801757813,-194569.06875
43,True,766,766,930,53.469427490234374,-1710.7294799804688,4980.12392578125,-448719.59375
44,True,191,191,186,-416.3159980773926,540.2685096740722,-25508.905078125,-123682.8515625
45,True,553,553,446,480.6201507568359,-1451.5240600585937,5356.690576171875,-103472.89375
46,True,586,586,717,38.23175239562988,-724.2021057128907,-3126.9484375,-134074.696875
47,True,422,422,776,-131.32699966430664,-1670.355615234375,-1125.7505828857422,-290827.20625
48,True,334,334,357,89.84482069015503,-845.8112609863281,995.115966796875,-165786.390625
49,True,13,13,84,459.34813537597654,-1640.3862548828124,22550.22421875,-346651.43125
50,True,542,542,541,2030.0728698730468,-2118.5930786132812,10642.0197265625,-259915.375
51,True,290,290,370,-241.42572784423828,-2211.717004394531,-6277.646435546875,-617790.75
52,True,495,495,564,981.7260746002197,-858.45947265625,3084.0545654296875,-249446.1625
53,True,664,664,526,1947.6862548828126,-2337.3944580078123,65630.05234375,-417382.4
54,True,521,521,909,26.775317764282228,-1730.2308349609375,-1746.075390625,-245076.296875
55,True,593,593,742,-138.88415985107423,-2772.2260009765623,4566.927807617188,-310243.7875
56,True,692,692,463,62.61692237854004,-2249.8542236328126,1547.9976348876953,-186889.671875
57,True,332,332,294,-5.382111549377441,-446.69007110595703,95.45846252441406,-221389.9125
58,True,825,825,596,92.87568588256836,-1820.3566040039063,1821.66865234375,-216329.903125
59,True,990,990,304,96.34914979934692,-1865.9414672851562,-1957.3058471679688,-343619.51875
