Sample_ID,Attack_Success,Original_Label,Clean_Prediction,Adv_Prediction,Clean_Input_Trace,Adv_Input_Trace,Clean_Param_Trace,Adv_Param_Trace
0,True,91,91,99,-123.62037734985351,-616.2894111633301,-353.53819427490237,-333843.33125
1,True,171,171,234,-994.3824783325196,-1606.7140869140626,-180.211279296875,-105597.353125
2,True,980,980,977,-812.746957397461,-2286.2720581054687,-29209.11044921875,-165663.55
3,True,218,218,246,125.24647026062011,715.4573745727539,-7734.615576171875,15614.51875
4,True,19,19,286,121.87652215957641,-359.1607093811035,875.2408737182617,-6036.5724609375
5,True,658,658,883,-136.2374309539795,-590.158169555664,-48883.72734375,-110073.1625
6,True,808,808,452,-37.2640625,59.11082801818848,-3831.785400390625,-34208.8435546875
7,True,416,416,602,-273.61636505126955,324.0957458496094,-10147.8572265625,-247963.725
8,True,89,89,9,-5.487065696716309,-2067.9964233398437,-1446.4970458984376,-388719.6375
9,True,793,793,452,334.54768829345704,-2338.847998046875,3093.682958984375,-272028.26875
10,True,712,712,504,-218.1814758300781,-638.0934631347657,-10020.5529296875,567752.975
11,True,505,505,876,-438.5636779785156,-415.99101104736326,18477.2125,-125271.621875
12,True,332,332,202,375.2506042480469,-1928.797918701172,109502.61484375,-38285.4361328125
13,True,986,986,937,731.2782302856446,768.6319580078125,8279.1787109375,-245888.08125
14,True,867,867,565,531.426171875,2768.4974670410156,-7530.480126953125,299237.878125
15,True,817,817,975,851.2346343994141,-744.6852386474609,-13001.7892578125,-379617.95
16,True,642,642,638,-184.59713020324708,-2462.578662109375,135.19420166015624,-531315.5875
17,True,327,327,62,34.92177028656006,481.0985023498535,1092.388818359375,-132272.1984375
18,True,995,995,329,47.30321617126465,-230.60018157958984,-3040.0677734375,95972.7859375
19,True,87,87,132,-511.9890640258789,-1672.9262336730958,1776.11513671875,-251100.703125
20,True,965,965,641,-0.855953598022461,-2005.519952392578,-111.3845703125,-136485.3921875
21,True,267,267,185,-46.02954750061035,-1062.3159973144532,14242.62108154297,-144846.4546875
22,True,977,977,497,8.468913269042968,-1425.8863037109375,8578.226440429688,-45422.94497070312
23,True,989,989,957,27.806126189231872,-684.1612762451172,108.19060668945312,-149475.85625
24,True,800,800,421,-436.9309768676758,-723.0504943847657,19835.7794921875,-160648.5734375
25,True,905,905,789,1839.4746154785157,-360.34330596923826,47917.278125,-160063.246875
26,True,124,124,122,-57.94130363464355,-693.1797668457032,-13298.8607421875,-174318.478125
27,True,541,541,577,984.2505798339844,-1621.5985412597656,315.5297607421875,-364940.825
28,True,661,661,861,-145.59626007080078,-786.1357925415039,-28706.91953125,-249563.25625
29,True,112,112,28,262.8175453186035,-255.57948150634766,-4586.713232421875,79900.00546875
30,True,531,531,587,46.56060657501221,1019.2957794189454,-1477.1985595703125,-130103.465625
31,True,251,251,263,74.06785659790039,-1494.6368103027344,-3482.420849609375,-180942.55625
32,True,495,495,453,688.5546447753907,-1858.3090942382812,-4129.09248046875,-144370.9515625
33,True,313,313,393,-351.54053649902346,-1252.2158142089843,-16968.9951171875,-184274.009375
34,True,784,784,733,17.237848472595214,-313.8634628295898,1952.0476318359374,-205646.45625
35,True,261,261,262,-126.09169845581054,-3165.644970703125,-5537.37998046875,-59696.6984375
36,True,973,973,4,50.168355560302736,-913.1413372039794,3264.89375,-87885.10234375
37,True,535,535,893,-4.28520097732544,-718.5571136474609,-170.145556640625,-67453.5859375
38,True,70,70,29,-22.29323239326477,213.6186950683594,-2889.9210205078125,-355747.64375
39,True,269,269,356,159.53502769470214,-1752.1497436523437,1915.36181640625,-318279.6375
40,True,558,558,772,316.1568412780762,2200.3792114257812,-7256.1814453125,-349789.86875
41,True,569,569,864,118.58887519836426,-1198.8320861816405,-12061.40185546875,-225552.35625
42,True,129,129,144,183.57896919250487,-1895.0115356445312,4449.522998046875,-217651.578125
